📺央视频道,#genre#
广东南方购物,http://192.168.10.10:4011/rtp/239.10.0.126:1025
广州综合,http://192.168.10.10:4011/rtp/239.11.0.138:1025
广州新闻,http://192.168.10.10:4011/rtp/239.11.0.139:1025
广州影视,http://192.168.10.10:4011/rtp/239.11.0.140:1025
广州法治,http://192.168.10.10:4011/rtp/239.11.0.141:1025
广州竞赛,http://192.168.10.10:4011/rtp/239.11.0.142:1025
阳江1,http://192.168.10.10:4011/rtp/239.11.0.189:1025
阳江2,http://192.168.10.10:4011/rtp/239.11.0.190:1025

💰付费频道,#genre#
兵器科技,http://192.168.10.10:4011/rtp/239.11.0.57:1025
电视指南,http://192.168.10.10:4011/rtp/239.11.0.58:1025
风云足球,http://192.168.10.10:4011/rtp/239.11.0.59:1025
央视台球,http://192.168.10.10:4011/rtp/239.11.0.60:1025
高尔夫网球,http://192.168.10.10:4011/rtp/239.11.0.61:1025
女性时尚,http://192.168.10.10:4011/rtp/239.11.0.62:1025
世界地理,http://192.168.10.10:4011/rtp/239.11.0.63:1025
怀旧剧场,http://192.168.10.10:4011/rtp/239.11.0.64:1025
风云剧场,http://192.168.10.10:4011/rtp/239.11.0.65:1025
央视文化精品,http://192.168.10.10:4011/rtp/239.11.0.66:1025
第一剧场,http://192.168.10.10:4011/rtp/239.11.0.67:1025
风云音乐,http://192.168.10.10:4011/rtp/239.11.0.68:1025
卫生健康,http://192.168.10.10:4011/rtp/239.11.0.185:1025
CHC影迷电影,http://192.168.10.10:4011/rtp/239.11.0.129:1025
中国交通,http://192.168.10.10:4011/rtp/239.10.0.72:1025
求索纪录,http://192.168.10.10:4011/rtp/239.11.0.128:1025
茶频道,http://192.168.10.10:4011/rtp/239.11.0.130:1025
快乐垂钓,http://192.168.10.10:4011/rtp/239.11.0.131:1025
天元围棋,http://192.168.10.10:4011/rtp/239.11.0.169:1025
睛彩竞技,http://192.168.10.10:4011/rtp/239.11.0.183:1025
睛彩广场舞,http://192.168.10.10:4011/rtp/239.11.0.184:1025
IPTV谍战剧场,http://192.168.10.10:4011/rtp/239.10.0.8:1025
IPTV相声小品,http://192.168.10.10:4011/rtp/239.10.0.9:1025
IPTV野外,http://192.168.10.10:4011/rtp/239.10.0.10:1025
IPTV法治,http://192.168.10.10:4011/rtp/239.10.0.11:1025
IPTV6+,http://192.168.10.10:4011/rtp/239.10.0.12:1025
经典电影,http://192.168.10.10:4011/rtp/239.10.0.13:1025
IPTV8+,http://192.168.10.10:4011/rtp/239.10.0.14:1025
热播剧场,http://192.168.10.10:4011/rtp/239.10.0.15:1025
IPTV3+,http://192.168.10.10:4011/rtp/239.10.0.16:1025
IPTV5+,http://192.168.10.10:4011/rtp/239.10.0.17:1025
爱体育,http://192.168.10.10:4011/rtp/239.10.0.218:1025
少儿动画,http://192.168.10.10:4011/rtp/239.10.0.18:1025
魅力时尚,http://192.168.10.10:4011/rtp/239.10.0.19:1025
收视指南,http://192.168.10.10:4011/rtp/239.10.0.20:1025
环球奇观.576,http://192.168.10.10:4011/rtp/239.10.0.36:1025

🎥咪咕直播,#genre#
咪咕视频1,http://192.168.10.10:4011/rtp/239.10.0.87:1025
咪咕视频2,http://192.168.10.10:4011/rtp/239.10.0.88:1025
咪咕视频3,http://192.168.10.10:4011/rtp/239.10.0.89:1025
咪咕视频4,http://192.168.10.10:4011/rtp/239.10.0.247:1025
咪咕视频5,http://192.168.10.10:4011/rtp/239.10.0.248:1025
咪咕视频6,http://192.168.10.10:4011/rtp/239.10.0.249:1025
咪咕视频7,http://192.168.10.10:4011/rtp/239.10.0.250:1025
咪咕视频8,http://192.168.10.10:4011/rtp/239.10.0.251:1025
咪咕视频9,http://192.168.10.10:4011/rtp/239.10.0.252:1025
咪咕视频10,http://192.168.10.10:4011/rtp/239.11.0.1:1025
咪咕视频11,http://192.168.10.10:4011/rtp/239.11.0.2:1025
咪咕视频12,http://192.168.10.10:4011/rtp/239.11.0.3:1025
咪咕视频13,http://192.168.10.10:4011/rtp/239.11.0.4:1025
咪咕视频14,http://192.168.10.10:4011/rtp/239.11.0.5:1025
咪咕视频15,http://192.168.10.10:4011/rtp/239.11.0.6:1025
咪咕视频16,http://192.168.10.10:4011/rtp/239.11.0.7:1025
咪咕视频17,http://192.168.10.10:4011/rtp/239.11.0.8:1025
咪咕视频18,http://192.168.10.10:4011/rtp/239.11.0.9:1025
咪咕视频19,http://192.168.10.10:4011/rtp/239.11.0.10:1025
咪咕视频20,http://192.168.10.10:4011/rtp/239.11.0.11:1025
咪咕视频21,http://192.168.10.10:4011/rtp/239.11.0.12:1025
咪咕视频22,http://192.168.10.10:4011/rtp/239.11.0.13:1025
咪咕视频23,http://192.168.10.10:4011/rtp/239.11.0.18:1025
咪咕视频24,http://192.168.10.10:4011/rtp/239.11.0.19:1025
咪咕视频25,http://192.168.10.10:4011/rtp/239.11.0.20:1025
咪咕视频26,http://192.168.10.10:4011/rtp/239.11.0.21:1025
